|6.6.6
stx11_1.tab                                                                                         
           1
T(K)    
   6.9532136503449080E-310
   6.9532136503449080E-310
   188798759
          13
T(K)           P(bar)         Pl             Pl             O              Cpx            Cpx            q              Opx            Gt             C2/c           Ring           Sp            
  373.000        1695.89        4.10167        10.3546        64.4626        6.13071                 NaN            NaN   12.9805        1.96989                 NaN            NaN            NaN
  385.712        2373.85        4.07531        9.64890        64.2619        6.53280                 NaN            NaN   12.6725        2.80868                 NaN            NaN            NaN
  417.492        3051.81        6.21184        3.95295        63.2629        8.49789                 NaN            NaN   11.1781        6.89626                 NaN            NaN            NaN
  452.449        3560.28        5.67137                 NaN   61.8883        8.73468        3.67307                 NaN   12.3770        7.65553                 NaN            NaN            NaN
  484.229        4238.24        2.23853                 NaN   60.9367        10.7239        3.69347                 NaN   10.7025        11.7048                 NaN            NaN            NaN
  516.008        4916.19       0.736968                 NaN   60.5299        11.6041        3.71120                 NaN   9.94027        13.4775                 NaN            NaN            NaN
  547.788        5594.15                 NaN            NaN   60.3342        12.0399        3.71400                 NaN   9.58287        14.3291                 NaN            NaN            NaN
  579.568        6272.11                 NaN            NaN   60.3461        12.0914        3.72159                 NaN   9.53619        14.3047                 NaN            NaN            NaN
  608.169        6950.07                 NaN            NaN   60.3489        12.0833        3.72853                 NaN   9.53327        14.3059                 NaN            NaN            NaN
  639.949        7628.02                 NaN            NaN   60.3549        12.0954        3.74615                 NaN   9.51582        14.2877                 NaN            NaN            NaN
  671.729        8305.98                 NaN            NaN   60.3641        12.1208        3.74254                 NaN   9.53579        14.2367                 NaN            NaN            NaN
  700.331        8983.94                 NaN            NaN   60.3698        12.2384        3.72082                 NaN   9.45834        14.2126                 NaN            NaN            NaN
  732.110        9661.90                 NaN            NaN   60.3729        12.2139        3.73736                 NaN   9.49294        14.1829                 NaN            NaN            NaN
  760.712        10339.9                 NaN            NaN   60.3770        12.2488        3.76638                 NaN   9.42472        14.1831                 NaN            NaN            NaN
  792.492        11017.8                 NaN            NaN   60.3807        12.3001        3.75275                 NaN   9.43152        14.1349                 NaN            NaN            NaN
  821.093        11526.3                 NaN            NaN   60.3840        12.3723        3.74409                 NaN   9.46158        14.0381                 NaN            NaN            NaN
  849.695        12204.2                 NaN            NaN   60.3865        12.4386        3.71290                 NaN   9.44738        14.0147                 NaN            NaN            NaN
  878.297        12882.2                 NaN            NaN   60.3876        12.4901        3.72791                 NaN   9.44524        13.9491                 NaN            NaN            NaN
  903.720        13560.2                 NaN            NaN   60.3913        12.5758        3.74242                 NaN   9.34004        13.9504                 NaN            NaN            NaN
  932.322        14238.1                 NaN            NaN   60.3912        12.6429        3.72247                 NaN   9.38105        13.8624                 NaN            NaN            NaN
  957.746        14916.1                 NaN            NaN   60.3942        12.7109        3.78292                 NaN   9.24619        13.8658                 NaN            NaN            NaN
  983.169        15594.0                 NaN            NaN   60.3928        12.7811        3.79150                 NaN   9.26915        13.7655                 NaN            NaN            NaN
  1008.59        16272.0                 NaN            NaN   60.3966        12.8294        3.85409                 NaN   9.14975        13.7702                 NaN            NaN            NaN
  1034.02        16949.9                 NaN            NaN   60.3954        12.9589        3.83889                 NaN   9.13745        13.6694                 NaN            NaN            NaN
  1059.44        17627.9                 NaN            NaN   60.3980        13.0497        3.91367                 NaN   8.97524        13.6634                 NaN            NaN            NaN
  1084.86        18305.9                 NaN            NaN   60.3952        13.1179        3.95016                 NaN   8.97893        13.5578                 NaN            NaN            NaN
  1107.11        18983.8                 NaN            NaN   60.3994        13.2391        4.03691                 NaN   8.74182        13.5828                 NaN            NaN            NaN
  1129.36        19661.8                 NaN            NaN   60.3960        13.3435        4.00946                 NaN   8.79113        13.4599                 NaN            NaN            NaN
  1151.60        20339.7                 NaN            NaN   60.3987        13.4997        4.09853                 NaN   8.51628        13.4868                 NaN            NaN            NaN
  1173.85        21017.7                 NaN            NaN   60.4000        13.4992        4.09845                 NaN   8.51504        13.4874                 NaN            NaN            NaN
  1196.09        21695.6                 NaN            NaN   60.4034        13.6772        4.14894                 NaN   8.28191        13.4886                 NaN            NaN            NaN
  1215.16        22204.1                 NaN            NaN   60.4003        13.9713        4.08357                 NaN   8.18941        13.3555                 NaN            NaN            NaN
  1237.41        22882.1                 NaN            NaN   60.4021        14.1721        4.11879                 NaN   7.93182        13.3752                 NaN            NaN            NaN
