|6.6.6
stx21_1.tab                                                                                         
           1
T(K)    
   0.0000000000000000     
   0.0000000000000000     
           0
          13
T(K)           P(bar)         Cpx            Cpx            O              Sp             Pl             Pl             qtz            Opx            Gt             C2/c           Ring          
  354.082        1652.51        13.2109                 NaN   69.9890        4.90971        4.15291                 NaN   7.73749                 NaN            NaN            NaN            NaN
  386.471        2313.97        13.3443                 NaN   70.0385        4.89378        3.93916                 NaN   7.78421                 NaN            NaN            NaN            NaN
  418.790        2975.70        13.5442                 NaN   55.6266        4.93681        3.92987                 NaN            NaN   21.9626                 NaN            NaN            NaN
  451.012        3637.68        13.6587                 NaN   55.5799        4.93210        3.75208                 NaN            NaN   22.0772                 NaN            NaN            NaN
  483.106        4299.94        13.8659                 NaN   55.5104        4.90540        3.42566                 NaN            NaN   22.2926                 NaN            NaN            NaN
  515.046        4962.45        14.0507                 NaN   55.4400        4.89058        3.13917                 NaN            NaN   22.4795                 NaN            NaN            NaN
  546.802        5625.23        14.3777                 NaN   55.2755        4.89838        2.63627                 NaN            NaN   22.8121                 NaN            NaN            NaN
  578.348        6288.27        14.7231                 NaN   55.1146        4.89471        2.10576                 NaN            NaN   23.1619                 NaN            NaN            NaN
  609.657        6951.58        15.0565                 NaN   54.9560        4.89499        1.59874                 NaN            NaN   23.4937                 NaN            NaN            NaN
  640.703        7615.14        15.6744                 NaN   54.6581        4.89444       0.651169                 NaN            NaN   24.1219                 NaN            NaN            NaN
  671.461        8278.98        16.1061                 NaN   54.4647        4.88389                 NaN            NaN            NaN   24.5453                 NaN            NaN            NaN
  701.905        8943.08        16.1205                 NaN   54.4979        4.85552                 NaN            NaN            NaN   24.5260                 NaN            NaN            NaN
  732.013        9607.44        16.1369                 NaN   54.5358        4.82291                 NaN            NaN            NaN   24.5044                 NaN            NaN            NaN
  761.761        10272.1        16.1558                 NaN   54.5806        4.78397                 NaN            NaN            NaN   24.4796                 NaN            NaN            NaN
  791.127        10937.0        16.1770                 NaN   54.6297        4.74108                 NaN            NaN            NaN   24.4522                 NaN            NaN            NaN
  820.091        11602.1        16.1992                 NaN   54.6813        4.69599                 NaN            NaN            NaN   24.4235                 NaN            NaN            NaN
  848.633        12267.5        14.4246                 NaN   60.4015                 NaN            NaN            NaN            NaN   11.3247        13.8492                 NaN            NaN
  876.733        12933.2        14.4081                 NaN   60.4025                 NaN            NaN            NaN            NaN   11.3913        13.7982                 NaN            NaN
  904.375        13599.2        14.4042                 NaN   60.4028                 NaN            NaN            NaN            NaN   11.4532        13.7398                 NaN            NaN
